"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12event\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12event\asgi.py", "Python", 4, 8, 5, 17
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12event\settings.py", "Python", 107, 54, 42, 203
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12event\urls.py", "Python", 9, 15, 2, 26
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12event\wsgi.py", "Python", 4, 8, 5, 17
"Total", "-", 124, 85, 55, 264
